sentence	target	target_zhuyin	target_braille	target_pos
陽光把我們的背影慢慢延長。	長	ㄔㄤˊ	⠃⠭⠂	11
你是不是也有一套自行解決壓力的好辦法？	好	ㄏㄠˇ	⠗⠩⠈	15
打從一開始，我就曉得大衛這個人不壞。	得	ㄉㄜ˙	⠙⠮⠁	9
凡是人都有四大不調的時候。	調	ㄊㄧㄠˊ	⠋⠪⠂	8
他生日是閏六月，有得等囉。	得	ㄉㄜ˙	⠙⠮⠁	9
海灘上擠滿了人，好不熱鬧。	好	ㄏㄠˇ	⠗⠩⠈	8
我看到菲力臉上兩行清淚，汨汨地流了下來。	行	ㄏㄤˊ	⠗⠭⠂	8
地圖中少了十幾根線，這迷宮再也找不到了。	少	ㄕㄠˇ	⠊⠩⠈	3
他做了一首長詩，用回教詩文的語調吟唱。	教	ㄐㄧㄠˋ	⠅⠪⠐	10
而龍山寺何時才能還其寧靜的宗教本色？	還	ㄏㄨㄢˊ	⠗⠻⠂	8
成為專業化妝師理想，有我們同行！	行	ㄏㄤˊ	⠗⠭⠂	14
當陽光照射時即可直接將光能轉為電能。	轉	ㄓㄨㄢˇ	⠁⠻⠈	13
東西倒好東西，就是價錢太貴。	倒	ㄉㄠˋ	⠙⠩⠐	2
在那時我們都沒錢，日子過的清苦但快樂。	沒	ㄇㄟˊ	⠍⠴⠂	6
我對這次旅行非常期待，也覺得滿興奮的。	行	ㄒㄧㄥˊ	⠑⠽⠂	5
警察局化驗其嘔吐物後，並無呈現毒物反應。	應	ㄧㄥˋ	⠽⠐	18
沒有相應的措施，計畫就會成為架空的東西。	空	ㄎㄨㄥ	⠇⠯⠄	15
他們只好年復一年地守著人均幾分耕地嘆氣。	分	ㄈㄣ	⠟⠥⠄	14
既已預設不動搖的立場，還有什麼好談呢？	好	ㄏㄠˇ	⠗⠩⠈	15
本章將介紹控制方法與系統響應。	應	ㄧㄥˋ	⠽⠐	13
棚上數不清的瓜，好像比賽似的搶著長大。	長	ㄓㄤˇ	⠁⠭⠈	16
以後，不必說了，我娶了她，她對我很好。	好	ㄏㄠˇ	⠗⠩⠈	17
李翊君穿上她一貫的特種軍服。	種	ㄓㄨㄥˇ	⠁⠯⠈	10
出於一時好奇，結果拿去沒幾天就丟掉了。	沒	ㄇㄟˊ	⠍⠴⠂	11
山東的情形比河南好不了多少。	少	ㄕㄠˇ	⠊⠩⠈	12
感覺好空好煩，大概又是考前症候群了吧。	空	ㄎㄨㄥ	⠇⠯⠄	3
我的玫瑰長蟲了。	長	ㄓㄤˇ	⠁⠭⠈	4
你知道一個人的感覺被講對了，舒服好多了。	好	ㄏㄠˇ	⠗⠩⠈	16
在當時，大寨的名聲比山西還響。	還	ㄏㄞˊ	⠗⠺⠂	12
品種純的獒犬價值八萬元。	種	ㄓㄨㄥˇ	⠁⠯⠈	1
這是怎麼一回事？你倒說呀！	倒	ㄉㄠˋ	⠙⠩⠐	9
新加坡航空以新加坡樟宜機場為基地。	空	ㄎㄨㄥ	⠇⠯⠄	4
村子裡的那一片藍樹林，藍得像海。	得	ㄉㄜ˙	⠙⠮⠁	12
耕種了多少，將來就會有多少收穫。	少	ㄕㄠˇ	⠊⠩⠈	4
好，蔡大師來做個壓軸好戲，做個結論。	好	ㄏㄠˇ	⠗⠩⠈	0
那時我正少年，四大天王就是我的四大偶像。	少	ㄕㄠˋ	⠊⠩⠐	4
不會，不會，快別這麼說。	會	ㄏㄨㄟˋ	⠗⠫⠐	1
她犯的罪很重，當年被判了無期徒刑。	重	ㄓㄨㄥˋ	⠁⠯⠐	5
少女依計而行，但和尚毫不為所動。	行	ㄒㄧㄥˊ	⠑⠽⠂	5
你猜外面的樹、花、草地有沒有不一樣？	沒	ㄇㄟˊ	⠍⠴⠂	12
今年剛好為電影誕生一百週年。	好	ㄏㄠˇ	⠗⠩⠈	3
離貪、離欲、離愛、離念、離渴，是名空欲。	空	ㄎㄨㄥ	⠇⠯⠄	17
說到夏天的旅遊聖地，那當然是海了！	當	ㄉㄤ	⠙⠭⠄	11
點是曾參的父親，彈瑟的技巧不錯。	彈	ㄊㄢˊ	⠋⠧⠂	8
種疫苗的時間應視幼兒健康狀況而定。	種	ㄓㄨㄥˋ	⠁⠯⠐	0
只有這個粗豪少年，要費幾下手腳打發。	少	ㄕㄠˋ	⠊⠩⠐	6
對我來說沒有愛，什麼都是假的，無意義的。	假	ㄐㄧㄚˇ	⠅⠾⠈	12
兩岸學者皆希望文字歧異性能早日獲得解決。	得	ㄉㄜˊ	⠙⠮⠂	16
「好舒服的一覺」她伸伸懶腰。	覺	ㄐㄧㄠˋ	⠅⠪⠐	6
他的魔術表演很假。	假	ㄐㄧㄚˇ	⠅⠾⠈	7
對股市而言，此屬一項短期利空的影響。	空	ㄎㄨㄥ	⠇⠯⠄	13
這樣更好，省得麻煩。	得	ㄉㄜ˙	⠙⠮⠁	6
昨天我和我最好的朋友吵架了。	好	ㄏㄠˇ	⠗⠩⠈	6
那好吧，請您把你們認為合適的價格談一下。	好	ㄏㄠˇ	⠗⠩⠈	1
本種大顎平直向前延長，長度比頭部稍長。	長	ㄔㄤˊ	⠃⠭⠂	9
我們知道蛇會脫皮，但我們真的去看過嗎？	會	ㄏㄨㄟˋ	⠗⠫⠐	5
抽出的地下水鹽份很重，幾乎無法飲用。	重	ㄓㄨㄥˋ	⠁⠯⠐	9
初見面就被討厭，這種事很少發生在他身上。	少	ㄕㄠˇ	⠊⠩⠈	12
這種環保觀念，是人人應當要有的。	當	ㄉㄤ	⠙⠭⠄	11
大掃除要分期，以防肌肉筋骨受傷。	分	ㄈㄣ	⠟⠥⠄	4
他將車子停在總會前，然後就去吃飯了。	會	ㄏㄨㄟˋ	⠗⠫⠐	7
當自己被別人讚賞的時候，實在好高興喔！	好	ㄏㄠˇ	⠗⠩⠈	14
請全民共同尊重與關心年長者行的安全。	行	ㄒㄧㄥˊ	⠑⠽⠂	13
他到了老師跟前，給老師行一個禮。	行	ㄒㄧㄥˊ	⠑⠽⠂	11
中國人使用毛筆，有長久的歷史。	長	ㄔㄤˊ	⠃⠭⠂	9
你叫得那麼兇，還不是想來分一杯羹！	分	ㄈㄣ	⠟⠥⠄	12
你的身上好香，到底沾了多少香水呢？	少	ㄕㄠˇ	⠊⠩⠈	12
褲底破一空，妳也快要當新娘了吧。	空	ㄎㄨㄥ	⠇⠯⠄	4
妳好生替他收著，別糟蹋了。	好	ㄏㄠˇ	⠗⠩⠈	1
他有沒有提到什麼時候去遊行？	沒	ㄇㄟˊ	⠍⠣⠐	2
這種環保觀念，是人人應當要有的。	應	ㄧㄥ	⠽⠄	10
你們真行，這麼才幾天車都買上了。	行	ㄒㄧㄥˊ	⠑⠽⠂	3
我孤單得很，從來沒人陪我說過這麼久的話。	得	ㄉㄜ˙	⠙⠮⠁	3
王警衛到牢房轉了一下，看看有無特殊狀況。	轉	ㄓㄨㄢˋ	⠁⠻⠐	6
種牛痘可預防由近親病毒所引起的天花。	種	ㄓㄨㄥˋ	⠁⠯⠐	0
只要有心，處處是教材，樣樣入孩子的心。	教	ㄐㄧㄠˋ	⠅⠪⠐	8
你們男生喜歡長髮還是短髮的女生？	還	ㄏㄞˊ	⠗⠺⠂	8
研究顯示加拿大吸食毒品人數見長。	長	ㄓㄤˇ	⠁⠭⠈	14
販售所得將全部捐助三芝文物館籌建工程。	得	ㄉㄜˊ	⠙⠮⠂	3
你剛剛坐得好好的，為何突然間站起來？	好	ㄏㄠˇ	⠗⠩⠈	5
她生長在一個嚴肅的天主教家庭中。	教	ㄐㄧㄠˋ	⠅⠪⠐	11
天雖好生，亦難救求死之人。	好	ㄏㄠˋ	⠗⠩⠐	2
現在只是一個開始，我必須不斷地努力才行。	行	ㄒㄧㄥˊ	⠑⠽⠂	18
你娘卡好咧！都把鳥事交給我做！。	好	ㄏㄠˇ	⠗⠩⠈	3
這六個產區是按土壤及氣候的差別來分。	分	ㄈㄣ	⠟⠥⠄	16
我和他認識倒認識，可是不常說話。	倒	ㄉㄠˋ	⠙⠩⠐	5
體積相同的鐵比木頭重。	重	ㄓㄨㄥˋ	⠁⠯⠐	9
依茶樹品種分則有鐵觀音、烏龍、水仙等。	種	ㄓㄨㄥˇ	⠁⠯⠈	4
阿諾，你真行！	行	ㄒㄧㄥˊ	⠑⠽⠂	5
