type,zhuyin,braille
initial,ㄅ,⠕
initial,ㄆ,⠏
initial,ㄇ,⠍
initial,ㄈ,⠟
initial,ㄉ,⠙
initial,ㄊ,⠋
initial,ㄋ,⠝
initial,ㄌ,⠉
initial,ㄍ,⠅
initial,ㄎ,⠇
initial,ㄏ,⠗
initial,ㄐ,⠅
initial,ㄑ,⠚
initial,ㄒ,⠑
initial,ㄓ,⠁
initial,ㄔ,⠃
initial,ㄕ,⠊
initial,ㄖ,⠛
initial,ㄗ,⠓
initial,ㄘ,⠚
initial,ㄙ,⠑
final,ㄚ,⠜
final,ㄛ,⠣
final,ㄜ,⠮
final,ㄝ,⠢
final,ㄞ,⠺
final,ㄟ,⠴
final,ㄠ,⠩
final,ㄡ,⠷
final,ㄢ,⠧
final,ㄣ,⠥
final,ㄤ,⠭
final,ㄥ,⠵
final,ㄦ,⠱
final,"""empty""",⠱
final,ㄧ,⠡
final,ㄨ,⠌
final,ㄩ,⠳
final,ㄧㄚ,⠾
final,ㄧㄛ,⠴
final,ㄧㄝ,⠬
final,ㄧㄞ,⠢
final,ㄧㄠ,⠪
final,ㄧㄡ,⠎
final,ㄧㄢ,⠞
final,ㄧㄣ,⠹
final,ㄧㄤ,⠨
final,ㄧㄥ,⠽
final,ㄨㄚ,⠔
final,ㄨㄛ,⠒
final,ㄨㄞ,⠶
final,ㄨㄟ,⠫
final,ㄨㄢ,⠻
final,ㄨㄣ,⠿
final,ㄨㄤ,⠸
final,ㄨㄥ,⠯
final,ㄩㄝ,⠦
final,ㄩㄢ,⠘
final,ㄩㄣ,⠲
final,ㄩㄥ,⠖
tone,ˉ,⠄
tone,ˊ,⠂
tone,ˇ,⠈
tone,ˋ,⠐
tone,˙,⠁
punct_mid,，,⠆
punct_mid,、,⠠
punct_mid,；,⠰
punct_mid,：,⠒⠒
punct_mid,．,⠤
punct_mid_double,……,⠐⠐⠐
punct_end,。,⠤⠀
punct_end,？,⠕⠀
punct_end,！,⠇⠀
punct_par,「,⠰⠤
punct_par,」,⠤⠆
punct_par,『,⠦⠦
punct_par,』,⠴⠴
punct_par,（,⠪
punct_par,）,⠕
punct_par_double,──,⠐⠂
punct_par_name,《,⠣⠣
punct_par_name,》,⠜⠜
punct_par_name,〈,⠣
punct_par_name,〉,⠜
punct_list,※,⠈⠼
punct_list,◎,⠪⠕
hw_punct,［,⠯
hw_punct,］,⠽
hw_punct,｛,⠦
hw_punct,｝,⠴
punct_hyphen,—,⠤⠤
punct_hyphen,～,⠔⠔
